"hotel_id","name","description","brand","address.addr1","address.city","address.city_id","address.region","address.country","address.postal_code","street_address","latitude","longitude","neighborhood[0]","neighborhood[1]","margin_level","base_price","sale_price","phone","star_rating","email","guest_rating[0].rating_system","guest_rating[0].score","guest_rating[0].number_of_reviewers","image[0].url","image[0].tag","image[1].url","image[1].tag","loyalty_program","url"
"HT0001_4N","OZ VILLA HOTEL - 4 Nuits","Établissement familial 2 etoiles a Laleli, a 5 min du Grand Bazar. Chambres simples avec climatisation, petit-dejeuner buffet inclus, WiFi gratuit. Ideal pour voyageurs economes cherchant un point central.","Honey Travel Cheraga","Ordu Cd. No:1, Laleli","Istanbul","","Istanbul","TR","34000","Ordu Cd. No:1, Laleli","41.0086","28.9519","Laleli","Istanbul","","25000.00","23750.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0001_4N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0001_4N"
"HT0001_6N","OZ VILLA HOTEL - 6 Nuits","Sejour prolonge 6 nuits a l'Oz Villa - Hotel 2 etoiles authentique dans le quartier commercant de Laleli. Proche mosquee Laleli, tramway a 300m. Petit-dejeuner turc traditionnel inclus.","Honey Travel Cheraga","Ordu Cd. No:1, Laleli","Istanbul","","Istanbul","TR","34000","Ordu Cd. No:1, Laleli","41.0086","28.9519","Laleli","Istanbul","","27500.00","26125.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0001_6N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0001_6N"
"HT0001_7N","OZ VILLA HOTEL - 7 Nuits","Semaine complete a l'Oz Villa Hotel 2 etoiles. Localisation strategique pres de l'universite d'Istanbul et du Grand Bazar. Service 24h/24, change de devises sur place.","Honey Travel Cheraga","Istanbul Cd. No:1, Istanbul Center","Istanbul","","Istanbul","TR","34000","Istanbul Cd. No:1, Istanbul Center","41.0082","28.9784","Default","Istanbul","","30000.00","28500.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0001_7N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0001_7N"
"HT0002_4N","GRAND MILAN HOTEL - 4 Nuits","Hotel 3 etoiles renove a Laleli, a 8 min a pied du Grand Bazar. Chambres confortables avec TV satellite, minibar. Restaurant sur place proposant cuisine turque et internationale.","Honey Travel Cheraga","Ordu Cd. No:1, Laleli","Istanbul","","Istanbul","TR","34000","Ordu Cd. No:1, Laleli","41.0086","28.9519","Laleli","Istanbul","","26250.00","24937.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0002_4N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0002_4N"
"HT0002_6N","GRAND MILAN HOTEL - 6 Nuits","Sejour 6 nuits au Grand Milan - Établissement 3 etoiles avec reception 24h/24 et service de concierge. Situation ideale pour shopping textile a Laleli. Transferts aeroport disponibles.","Honey Travel Cheraga","Ordu Cd. No:1, Laleli","Istanbul","","Istanbul","TR","34000","Ordu Cd. No:1, Laleli","41.0086","28.9519","Laleli","Istanbul","","32500.00","30875.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0002_6N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0002_6N"
"HT0002_7N","GRAND MILAN HOTEL - 7 Nuits","Semaine au Grand Milan Hotel 3 etoiles. Quartier anime de Laleli avec acces facile aux sites historiques. Chambres avec coffre-fort, seche-cheveux. Petit-dejeuner varie.","Honey Travel Cheraga","Ordu Cd. No:1, Laleli","Istanbul","","Istanbul","TR","34000","Ordu Cd. No:1, Laleli","41.0086","28.9519","Laleli","Istanbul","","36250.00","34437.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0002_7N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0002_7N"
"HT0003_4N","SELENAY HOTEL - 4 Nuits","Selenay Hotel 3 etoiles a Beyazit, a 3 min de la mosquee Beyazit et a 10 min du Grand Bazar. Rooftop avec vue panoramique sur la ville historique. Restaurant panoramique au dernier etage.","Honey Travel Cheraga","Yeniçeriler Cd. No:5, Beyazit","Istanbul","","Istanbul","TR","34000","Yeniçeriler Cd. No:5, Beyazit","41.0103","28.9639","Beyazit","Istanbul","","26250.00","24937.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0003_4N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0003_4N"
"HT0003_6N","SELENAY HOTEL - 6 Nuits","6 nuits au Selenay Hotel 3 etoiles, situe pres de l'Universite d'Istanbul. Ideal pour decouvrir le vieux quartier ottoman. Chambres avec vue sur la cour interieure ou la rue historique.","Honey Travel Cheraga","Istanbul Cd. No:1, Istanbul Center","Istanbul","","Istanbul","TR","34000","Istanbul Cd. No:1, Istanbul Center","41.0082","28.9784","Default","Istanbul","","32500.00","30875.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0003_6N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0003_6N"
"HT0003_7N","SELENAY HOTEL - 7 Nuits","Sejour d'une semaine au Selenay 3 etoiles. Emplacement privilegie a Beyazit entre le Grand Bazar et la mosquee du Sultan Ahmet accessible a pied. Service de navette vers l'aeroport.","Honey Travel Cheraga","Yeniçeriler Cd. No:5, Beyazit","Istanbul","","Istanbul","TR","34000","Yeniçeriler Cd. No:5, Beyazit","41.0103","28.9639","Beyazit","Istanbul","","36250.00","34437.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0003_7N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0003_7N"
"HT0004_4N","ALFA HOTEL - 4 Nuits","Alfa Hotel 3 etoiles a Yenikapi, a 600m de la mosquee Pertevniyal Valide Sultan. Proche gare ferroviaire Yenikapi pour deplacements inter-villes. Chambres avec WiFi haut debit.","Honey Travel Cheraga","Kennedy Cd. No:10, Yenikapi","Istanbul","","Istanbul","TR","34000","Kennedy Cd. No:10, Yenikapi","41.0059","28.9543","Yenikapi","Istanbul","","28750.00","27312.00","+213549591903","3","contact@honeytravelcheraga.com","tripAdvisor","4.0","100","https://honeytravelcheraga.com/b2c/istanbul/images/hotel_0004_4N.jpg","[""Exterior"", ""Facade""]","https://honeytravelcheraga.com/b2c/istanbul/images/default.jpg","[""Room"", ""Interior""]","","https://honeytravelcheraga.com/b2c/istanbul/booking?id=HT0004_4N"
